University,Term of study,Destination,Type of study,Faculty,Language of instruction,Level
Aalborg University,"Term 1 + 2, Term 3",Denmark,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Aarhus University,"Term 1 + 2, Term 2 + 3",Denmark,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Aix Marseille University,"Term 1, Term 3",France,Student exchange,"Business School, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Akita International University,"Term 1, Term 2 + 3",Japan,Student exchange,"Business School, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours"
Alfred University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
American University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
Arizona State University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
Babson College,"Term 1, Term 2 + 3",USA,Student exchange,Business School,Only English,Undergraduate
Bangor University,"Term 1, Term 3",United Kingdom,,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
Barnard College,"Term 1, Term 2 + 3",USA,Student exchange,"Science, Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
Bauhaus University Weimar,"Term 1 + 2, Term 3 + Term 1",Germany,Student exchange,Art &amp; Design (discipline),No English,"Undergraduate, Honours, Postgraduate coursework"
Beijing Normal University,Term 1 + 2,China,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Berlin University of the Arts (UDK),"Term 1 + 2, Term 3",Germany,Student exchange,Art &amp; Design (discipline),No English,"Undergraduate, Honours, Postgraduate coursework"
Bezalel Academy of Arts and Design,"Term 1 + 2, Term 3 + Term 1",Israel,Student exchange,Art &amp; Design (discipline),No English,"Undergraduate, Honours, Postgraduate coursework"
Bocconi University,"Term 1 + 2, Term 3",Italy,Student exchange,"Business School, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Boston College,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
Bucerius Law School,Term 3,Germany,Student exchange,Law &amp; Justice,Some English,"Undergraduate, Honours, Postgraduate coursework"
CEPT University,"Term 1, Term 2 + 3",India,,Built Environment (discipline),,"Undergraduate, Postgraduate coursework"
Chalmers University of Technology,"Term 1 + 2, Term 2 + 3",Sweden,Student exchange,"Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Chinese University of Hong Kong,"Term 1, Term 3",Hong Kong SAR,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Chulalongkorn University,"Term 1 + 2, Term 2 + 3",Thailand,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Chuo University,"Term 1, Term 3",Japan,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
City University of Hong Kong,"Term 1, Term 3",Hong Kong SAR,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
College of Charleston,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate The College of Charleston is a public sea-grant and space-grant university in Charleston, South Carolina. Founded in 1770 and chartered in 1785, it is the oldest college in South Carolina, the 13th oldest institution of higher learningin the United States, and the oldest municipal college in the country.The founders of the college include three future signersof the Declaration of Independence and three future signers of the United States Constitution. Founded to ""encourage and institute youth in the several branches of liberal education,"" it is one of the oldest universities in the United States."
Colorado School of Mines,"Term 1, Term 2 + 3",USA,Student exchange,"Engineering, Science",Only English,Undergraduate
Concordia University,"Term 1, Term 3",Canada,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
Copenhagen Business School,"Term 1 + 2, Term 2 + 3",Denmark,Student exchange,Business School,Some English,"Undergraduate, Honours, Postgraduate coursework"
"Cornell University, School of Industrial &amp; Labour Relations","Term 1, Term 2 + 3",USA,Student exchange,"Business School, Science, Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
Dalhousie University,"Term 1, Term 3",Canada,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",,"Undergraduate, Honours"
Delft University of Technology,"Term 1 + 2, Term 3",Netherlands,Student exchange,"Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Diplomatic Academy of Vietnam,Term 3,Viet Nam,Student exchange,Law &amp; Justice,Some English,"Undergraduate, Honours, Postgraduate coursework"
Doshisha University,"Term 1 + 2, Term 3",Japan,Student exchange,"Business School, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Drexel University,"Term 1 + 2, Term 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,Undergraduate
Embry Riddle Aeronautical University - Daytona Beach Campus,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours"
Emory University Goizueta Business School,"Term 1, Term 2 + 3",USA,Student exchange,Business School,Only English,Undergraduate
EPFL - Ecole Polytechnique Federale de Lausanne,"Term 1 + 2, Term 3",Switzerland,Student exchange,"Engineering, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Erasmus Univeristy College,"Term 1 + 2, Term 2 + 3",Netherlands,Student exchange,"Business School, Science, Arts &amp; Social Sciences (discipline)",,Undergraduate
"Erasmus University Rotterdam, Law School","Term 1 + 2, Term 3",Netherlands,Student exchange,Law &amp; Justice,Some English,"Undergraduate, Honours, Postgraduate coursework"
"Erasmus University Rotterdam, School of History, Culture and Communication","Term 1 + 2, Term 3",Netherlands,Student exchange,Arts &amp; Social Sciences (discipline),Some English,"Undergraduate, Honours, Postgraduate coursework"
"Erasmus University Rotterdam, School of Social and Behavioural Sciences","Term 1 + 2, Term 3",Netherlands,Student exchange,"Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
"Erasmus Universtiy Rotterdam, School of Management","Term 1 + 2, Term 3",Netherlands,Student exchange,Business School,Some English,"Undergraduate, Honours, Postgraduate coursework"
ESADE Ramon Llull University,"Term 1, Term 3",Spain,Student exchange,"Business School, Law &amp; Justice, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
ESSEC Business School Paris,"Term 1, Term 3",France,Student exchange,Business School,Some English,"Undergraduate, Honours, Postgraduate coursework"
ETH Zurich,"Term 1, Term 3",Switzerland,Student exchange,"Engineering, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
European Business School,"Term 1, Term 2 + 3",Germany,Student exchange,Business School,Some English,"Undergraduate, Honours, Postgraduate coursework"
EWHA Womans University,"Term 1 + 2, Term 3",Republic of Korea,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Frankfurt School of Finance and Management,"Term 1 + 2, Term 2 + 3",Germany,Student exchange,Business School,Some English,"Undergraduate, Honours, Postgraduate coursework"
Freie University of Berlin,"Term 1 + 2, Term 3 + Term 1",Germany,Student exchange,"Business School, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Fudan University,"Term 1 + 2, Term 3",China,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Fundacao Getulio Vargas Direito Rio,"Term 1 + 2, Term 2 + 3",Brazil,Student exchange,"Business School, Law &amp; Justice",Some English,Undergraduate
Gakushuin University,"Term 1 + 2, Term 3",Japan,Student exchange,"Business School, Science, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
George Mason University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",,
George Washington University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
Georgetown University,"Term 1, Term 2 + 3",USA,Student exchange,"Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours"
Georgia Tech,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,Undergraduate
Glasgow School of Art,Term 3,United Kingdom,Student exchange,Art &amp; Design (discipline),Only English,"Undergraduate, Honours, Postgraduate coursework"
Global E3 The Global Engineering Education Exchange Program,,USA,Student exchange,Engineering,Only English,Undergraduate
Hamburg University of Applied Sciences,"Term 1 + 2, Term 3",Germany,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Hanyang University,"Term 1 + 2, Term 3",Republic of Korea,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
HEC Montreal,"Term 1, Term 3",Canada,Student exchange,Business School,Only English,"Undergraduate, Honours, Postgraduate coursework"
Heriot-Watt University,"Term 1, Term 3",United Kingdom,Student exchange,"Business School, Engineering, Science",Only English,Undergraduate
High Point University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
Hiroshima University,"Term 1 + 2, Term 3",Japan,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",No English,Undergraduate
Hitotsubashi University,Term 1 + 2,Japan,Student exchange,"Business School, Arts &amp; Social Sciences (discipline)",Some English,Undergraduate
Hochschule München University of Applied Sciences,"Term 1 + 2, Term 3",Germany,Student exchange,"Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Hokkaido Univeristy,"Term 1 + 2, Term 3 + Term 1",Japan,Student exchange,"Science, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Hong Kong Design Institute,,Hong Kong SAR,Student exchange,Art &amp; Design (discipline),Some English,
Hong Kong Polytechnic University,"Term 1, Term 3",Hong Kong SAR,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Hong Kong University of Science and Technology (HKUST),"Term 1, Term 3",Hong Kong SAR,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
Humboldt University of Berlin,"Term 1 + 2, Term 3",Germany,Student exchange,"Business School, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
IE University,"Term 1 + 2, Term 3",Spain,Student exchange,Law &amp; Justice,Only English,Undergraduate
Indonesia International Institute for Life Sciences,"Term 1 + 2, Term 2 + 3",Indonesia,Student exchange,Science,,
Insper - Institute of Education and Research,"Term 1 + 2, Term 2 + 3",Brazil,Student exchange,"Business School, Engineering",Some English,"Undergraduate, Honours, Postgraduate coursework"
Institut National des Sciences Appliquees de Lyon (INSA),"Term 1 + 2, Term 3",France,Student exchange,"Engineering, Science, Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Instituto Tecnológico Autonómo de México,"Term 1 + 2, Term 2 + 3",Mexico,Student exchange,"Business School, Engineering, Law &amp; Justice, Arts &amp; Social Sciences (discipline)",Some English,Undergraduate
Iowa State University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,Undergraduate
Jindal Global Law School,"Term 1 + 2, Term 2 + 3",India,Student exchange,Law &amp; Justice,Only English,
KAIST,,Republic of Korea,Student exchange,"Engineering, Science",Some English,"Undergraduate, Honours, Postgraduate coursework"
Kansai Gaidai University,"Term 1, Term 2 + 3",Japan,Student exchange,"Business School, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Kansas State University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,Undergraduate
Keio University,"Term 1 + 2, Term 3",Japan,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
King&#039;s College London,"Term 1, Term 3",United Kingdom,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Postgraduate coursework"
Kobe University,,Japan,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Korea University,"Term 1 + 2, Term 3",Republic of Korea,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
KU Leuven,"Term 1 + 2, Term 3",Belgium,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Kwansei Gakuin University,"Term 1 + 2, Term 3",Japan,Student exchange,"Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Kyoto University,Term 3 + Term 1,Japan,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Kyung Hee University,"Term 1 + 2, Term 3",Republic of Korea,Student exchange,"Business School, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
Lancaster University,Term 1 + 2,United Kingdom,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
LASALLE College of the Arts,,Singapore,,Art &amp; Design (discipline),,
Ludwig-Maximilians - Universitat Munchen,"Term 1 + 2, Term 3",Germany,Student exchange,"Business School, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Lulea University of Technology,"Term 1 + 2, Term 2 + 3",Sweden,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Lund University,"Term 1 + 2, Term 3",Sweden,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Maastricht University - Maastricht Psychology and Neuroscience,"Term 1 + 2, Term 2 + 3",Netherlands,Student exchange,Science,Only English,Undergraduate
Maastricht University - Maastricht Science Programme (MSP),"Term 1 + 2, Term 2 + 3",Netherlands,Student exchange,Science,Only English,Undergraduate
Maastricht University - University College Maastricht (UCM),"Term 1 + 2, Term 2 + 3",Netherlands,Student exchange,"Science, Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
,"Term 1 + 2, Term 2 + 3",Netherlands,Student exchange,Current Students Students  Arts &amp; Social Sciences (discipline),Some English,"Undergraduate, Honours, Postgraduate coursework"
"Maastricht University, School of Business and Economics (SBE)","Term 1 + 2, Term 3",Netherlands,Student exchange,Business School,Only English,"Undergraduate, Postgraduate coursework Study areasIdeal for student majoring in Economics or Business. See the SBE course catalogue for details.More informationMaastricht University (UM) is the most international university in the Netherlands and its School of Business and Economics (SBE) offers a unique and unforgettable experience. You can choose from a comprehensive list of courses and make friends from around the world.  SBE is Triple Crown Accredited, teaches Problem Based Learning (PBL), offers small tutorial groups and its education and communication is in English.  They also have strong ties with the Corporate World.For more information about this institution visit: www.maastrichtuniversity.nl/education/exchange/sbe and their Course Module"
Masaryk University,,Czech Republic,Student exchange,Law &amp; Justice,Some English For more information about this institution visit: https://www.muni.cz,
McGill University,"Term 1, Term 3",Canada,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
Meiji University,"Term 1 + 2, Term 3",Japan,Student exchange,"Business School, Science, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Mercy College,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
Michigan State University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
Missouri University of Science and Technology,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
Nagoya City University,"Term 1 + 2, Term 3",Japan,Student exchange,"Business School, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Nagoya University,,Japan,,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Some English,
Nanjing University,"Term 1 + 2, Term 3",China,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Nanyang Technological University,"Term 1, Term 2 + 3",Singapore,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
National Chengchi University College of Law,"Term 1 + 2, Term 3",Taiwan,Student exchange,Law &amp; Justice,Some English,"Undergraduate, Postgraduate coursework The College of Law has faculty members from around the world with a wide range of specialties and has a strong reputation for incisive research. The College has research centres for civil law, criminal law, public law, economic and financial law, labour and social law, and basic jurisprudence."
National Institute of Design,"Term 1, Term 2 + 3",India,Student exchange,Art &amp; Design (discipline),Some English,"Undergraduate, Honours, Postgraduate coursework"
National Taiwan University (NTU),"Term 1 + 2, Term 2 + 3",Taiwan,Student exchange,"Business School, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
National University of Singapore,"Term 1, Term 2 + 3",Singapore,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
New York University,"Term 1, Term 2 + 3",USA,Student exchange,Business School,Only English,Undergraduate
Newcastle University,Term 1 + 2,United Kingdom,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
Northern Arizona University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
Norwegian University of Science and Technology (NTNU),"Term 1 + 2, Term 2 + 3",Norway,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Nova School of Business and Economics,"Term 1 + 2, Term 3",Portugal,Student exchange,Business School,Only English,Undergraduate
Nova Scotia College of Art and Design,"Term 1, Term 3",Canada,Student exchange,Art &amp; Design (discipline),Only English,"Undergraduate, Honours, Postgraduate coursework"
Ochanomizu University,Term 1 + 2,Japan,Student exchange,"Science, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Paris Lodron University Salzburg,"Term 1 + 2, Term 3",Austria,Student exchange,"Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Paris Sorbonne University - Paris IV,"Term 1, Term 3",France,Student exchange,"Business School, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Peking University,"Term 1 + 2, Term 3",China,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Pennsylvania State University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,Undergraduate
Politecnico di Milano,"Term 1 + 2, Term 3 + Term 1",Italy,Student exchange,"Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Pontifical Catholic University of Chile,"Term 1 + 2, Term 2 + 3",Chile,Student exchange,"Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Purdue University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,Undergraduate
Pusan National University,"Term 1 + 2, Term 3",Republic of Korea,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Queen&#039;s University,"Term 1, Term 3",Canada,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours"
Radboud University Nijmegen,"Term 1 + 2, Term 3",Netherlands,Student exchange,"Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Rensselaer Polytechnic Institute (RPI),"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate, Honours"
Reutlingen University,Term 1,Germany,Student exchange,Business School,Some English,"Undergraduate, Postgraduate coursework"
Rikkyo University,"Term 1 + 2, Term 3",Japan,Student exchange,"Business School, Science, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Ritsumeikan University,"Term 1 + 2, Term 3 + Term 1",Japan,Student exchange,"Business School, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
