University,Term of study,Destination,Type of study,Faculty,Language of instruction,Level
Royal Institute of Technology (KTH),"Term 1 + 2, Term 2 + 3",Sweden,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Sapienza University of Rome,"Term 1 + 2, Term 3",Italy,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,Undergraduate
School of the Art Institute of Chicago,"Term 1, Term 2 + 3",USA,Student exchange,Art &amp; Design (discipline),Only English,Undergraduate
Sciences Po,"Term 1, Term 2 + 3",France,Student exchange,"Business School, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Sciences Po Aix,"Term 1 + 2, Term 3",France,Student exchange,"Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Seoul National University,"Term 1 + 2, Term 3",Republic of Korea,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Shanghai Jiao Tong University,"Term 1 + 2, Term 3",China,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Shanghai University of Finance and Economics,"Term 1 + 2, Term 3",China,Student exchange,Business School,Some English,"Undergraduate, Honours, Postgraduate coursework"
Singapore Management University,"Term 1, Term 2 + 3",Singapore,Student exchange,"Business School, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
Stockholm University,"Term 1 + 2, Term 3",Sweden,Student exchange,"Business School, Law &amp; Justice, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Sungkyunkwan University,"Term 1 + 2, Term 3",Republic of Korea,Student exchange,"Business School, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Swansea University,"Term 1 + 2, Term 3",United Kingdom,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
Tamkang University,"Term 1 + 2, Term 3",Taiwan,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Technical University of Berlin,"Term 1, Term 3 + Term 1",Germany,Student exchange,"Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Technical University of Denmark,"Term 1 + 2, Term 3",Denmark,Student exchange,"Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Technical University of Munich,"Term 1 + 2, Term 3 + Term 1",Germany,,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Tecnologico de Monterrey (ITESM),"Term 1, Term 2 + 3",Mexico,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Texas Tech University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate, Honours"
Thammasat University,"Term 1, Term 2 + 3",Thailand,Student exchange,"Business School, Engineering",Some English,"Undergraduate, Honours, Postgraduate coursework"
The Hebrew University of Jerusalem,"Term 1 + 2, Term 3",Israel,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
The State University of New York at Buffalo,Term 1,USA,Student exchange,Law &amp; Justice,Only English,"Undergraduate, Postgraduate coursework"
"The University of Tennessee, Knoxville","Term 1, Term 2 + 3",USA,Student exchange,"Business School, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate, Honours"
Tilburg University,"Term 1 + 2, Term 2 + 3",Netherlands,Student exchange,"Business School, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Tohoku University,"Term 1 + 2, Term 3",Japan,Student exchange,"Business School, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Trinity College Dublin,"Term 1, Term 3",Ireland,Student exchange,"Business School, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
Tsinghua University,"Term 1 + 2, Term 3",China,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Tulane University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Law &amp; Justice",Only English,Undergraduate
Universidad Carlos III de Madrid,"Term 1 + 2, Term 3",Spain,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Universidad de Belgrano,"Term 1 + 2, Term 2 + 3",Argentina,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Universidad De Los Andes,"Term 1 + 2, Term 2 + 3",Colombia,Student exchange,Law &amp; Justice,Some English,"Undergraduate, Honours, Postgraduate coursework"
Universidad de Navarra,"Term 1, Term 3",Spain,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Universidad Pontificia Comillas,"Term 1, Term 2 + 3",Spain,Student exchange,Arts &amp; Social Sciences (discipline),Some English,"Undergraduate, Honours, Postgraduate coursework"
Universita luav di Venezia,"Term 1 + 2, Term 3",Italy,Student exchange,"Art &amp; Design (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University College Dublin,"Term 1, Term 3",Ireland,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
"University College, London","Term 1 + 2, Term 3",United Kingdom,Student exchange,"Law &amp; Justice, Built Environment (discipline)",,"Undergraduate, Honours, Postgraduate coursework"
University of Alabama-Birmingham,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
University of Alberta,"Term 1, Term 3",Canada,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
University of Amsterdam,"Term 1 + 2, Term 2 + 3",Netherlands,Student exchange,"Business School, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Auckland,"Term 1 + 2, Term 2 + 3",New Zealand,Student exchange,"Business School, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
University of Barcelona,"Term 1 + 2, Term 3",Spain,,Business School,Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Birmingham,"Term 1 + 2, Term 3",United Kingdom,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
University of Bologna,"Term 1 + 2, Term 3",Italy,Student exchange,"Engineering, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
University of Bonn,"Term 1 + 2, Term 3",Germany,Student exchange,"Business School, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
University of Bristol,Term 1,United Kingdom,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate The University of Bristol is a Red brick university Research university located in Bristol, United Kingdom. It received its royal charter in 1909, although like the University of the West of England and the University of Bath, it can trace its roots to the Merchant Venturers' Technical College, founded as a school in 1595 by the Society of Merchant Venturers. Its key predecessor institution, University College, Bristol, had been in existence since 1876.Please note that Chemistry and Law programs are only available for year-long students.Further information can be found on their main Global Opportunities - Study Abroad website: www.bristol.ac.uk/global-opportunities/at-bristol/study-abroad/"
University of British Columbia,"Term 1, Term 3",Canada,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
"University of California, Berkeley","Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,Undergraduate
"University of California, Davis","Term 1 + 2, Term 3",USA,Student exchange,"Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,Undergraduate
"University of California, Hastings College of the Law","Term 1, Term 2 + 3",USA,Student exchange,Law &amp; Justice,Only English,"Undergraduate, Honours, Postgraduate coursework"
"University of California, Irvine","Term 1 + 2, Term 3",USA,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
"University of California, Los Angeles","Term 1 + 2, Term 3",USA,Student exchange,"Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,Undergraduate
"University of California, Merced","Term 1, Term 2 + 3",USA,,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Only English,
"University of California, Riverside","Term 1 + 2, Term 3",USA,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
"University of California, San Diego","Term 1 + 2, Term 3",USA,Student exchange,"Engineering, Science, Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
"University of California, Santa Barbara","Term 1 + 2, Term 3",USA,Student exchange,"Engineering, Science, Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
"University of California, Santa Cruz","Term 1 + 2, Term 3",USA,Student exchange,"Engineering, Science, Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
University of Cape Town,"Term 1, Term 3",South Africa,Student exchange,Business School,Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Chile,,Chile,Student exchange,Built Environment (discipline),No English,"Undergraduate, Postgraduate coursework"
"University of Colorado, Boulder","Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,Undergraduate
University of Connecticut,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,Undergraduate
University of Copenhagen,"Term 1 + 2, Term 3",Denmark,Student exchange,"Business School, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Denis Diderot - Paris VII,"Term 1 + 2, Term 3",France,Student exchange,"Science, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
University of Edinburgh,"Term 1, Term 3",United Kingdom,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
University of Exeter,"Term 1 + 2, Term 3",United Kingdom,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
University of Florida,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
University of Freiburg,"Term 1 + 2, Term 3",Germany,Student exchange,"Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Geneva,"Term 1, Term 3",Switzerland,Student exchange,"Business School, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Glasgow,"Term 1, Term 3",United Kingdom,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
University of Gothenburg,"Term 1 + 2, Term 3",Sweden,Student exchange,"Business School, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Guadalajara,"Term 1 + 2, Term 2 + 3",Mexico,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
University of Helsinki,"Term 1, Term 2 + 3",Finland,Student exchange,Law &amp; Justice,Some English,"Undergraduate, Postgraduate coursework"
University of Hong Kong,"Term 1, Term 3",Hong Kong SAR,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Iceland,"Term 1, Term 2 + 3",Iceland,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Illinois at Urbana - Champaign,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,Undergraduate
University of Jean Moulin - Lyon III,"Term 1 + 2, Term 2 + 3",France,Student exchange,"Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Kansas,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,Undergraduate
University of Lausanne,"Term 1 + 2, Term 3",Switzerland,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Leeds,"Term 1 + 2, Term 3",United Kingdom,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
University of Leoben,"Term 1 + 2, Term 3",Austria,Student exchange,"Engineering, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Leon,"Term 1 + 2, Term 3",Spain,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
University of Liverpool,"Term 1, Term 3",United Kingdom,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Research, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,Undergraduate
University of Malaya,"Term 1 + 2, Term 3",Malaysia,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Manchester,"Term 1 + 2, Term 3",United Kingdom,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
University of Mannheim,"Term 1 + 2, Term 2 + 3",Germany,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Maryland,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,Undergraduate
University of Miami,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
University of Michigan,"Term 1, Term 3",USA,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate The University of Michigan is a public research university located in Ann Arbor, Michigan.  UNSW has several exchange options for the University of Michigan including: The College of Literature, Science and the Arts that offers a range of courses for students studying Arts and Social Sciences and Sciences. The School of Information that offers innovative solutions connecting people, information and technology.  This is a great option for students in Computer Science and Engineering and Information Systems. The Ross School of Business that is a top-ranked business school offering action-based learning Business courses."
University of North Carolina at Chapel Hill,"Term 1, Term 2 + 3",USA,Student exchange,"Engineering, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,Undergraduate
University of North Carolina at Chapel Hill - Kenan Flagler Business School,"Term 1, Term 2 + 3",USA,Student exchange,Business School,Only English,Undergraduate
University of Nottingham,"Term 1 + 2, Term 3",United Kingdom,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
University of Nottingham Malaysia Campus,"Term 1, Term 3",Malaysia,Student exchange,"Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Nottingham Ningbo,"Term 1 + 2, Term 3",China,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Oslo,"Term 1 + 2, Term 2 + 3",Norway,Student exchange,"Business School, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Ottawa,Term 3,Canada,Student exchange,"Science, Arts &amp; Social Sciences (discipline)",,"Undergraduate, Honours, Postgraduate coursework"
University of Padua,"Term 1 + 2, Term 3 + Term 1",Italy,Student exchange,"Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Pantheon - Assas - Paris II,"Term 1 + 2, Term 3",France,Student exchange,"Business School, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
University of Pennsylvania,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
University of Pompeu Fabra,"Term 1 + 2, Term 3",Spain,Student exchange,"Business School, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
University of San Diego,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
University of Sheffield,"Term 1 + 2, Term 3",United Kingdom,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
University of Sussex,"Term 1 + 2, Term 3",United Kingdom,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Only English,Undergraduate
"University of Texas, at Austin","Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours"
University of Tokyo,"Term 1 + 2, Term 3",Japan,Student exchange,"Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Toronto,Term 3,Canada,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
University of Tuebingen,"Term 1 + 2, Term 3 + Term 1",Germany,Student exchange,"Business School, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Twente,"Term 1 + 2, Term 3",Netherlands,Student exchange,"Business School, Engineering, Science, Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University of Ulster,"Term 1, Term 3",United Kingdom,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate, Honours, Postgraduate coursework"
University of Virginia,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,Undergraduate
University of Zaragoza,"Term 1, Term 3",Spain,Student exchange,"Business School, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
University of Zurich,"Term 1 + 2, Term 3",Switzerland,Student exchange,"Business School, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
University Polytechnic of Valencia,"Term 1 + 2, Term 3",Spain,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Uppsala University,"Term 1 + 2, Term 3",Sweden,Student exchange,"Business School, Law &amp; Justice, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Utrecht School of the Arts,"Term 1, Term 3",Netherlands,Student exchange,"Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Utrecht University,"Term 1, Term 3",Netherlands,Student exchange,"Business School, Arts &amp; Social Sciences (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Vienna University of Economics and Business,"Term 1 + 2, Term 3",Austria,Student exchange,Business School,Some English,"Undergraduate, Honours, Postgraduate coursework"
Virginia Polytechnic Institute and State University,"Term 1, Term 2 + 3",USA,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Only English,"Undergraduate, Honours"
Waseda University,"Term 1 + 2, Term 3",Japan,Student exchange,"Business School, Science, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Western University,"Term 1, Term 3",Canada,Student exchange,"Business School, Engineering, Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",Only English,"Undergraduate, Honours"
WHU-Otto Beisheim School of Management,"Term 1 + 2, Term 3",Germany,Student exchange,Business School,Some English,"Undergraduate, Honours, Postgraduate coursework"
Willem de Kooning Academy,"Term 1 + 2, Term 3 + Term 1",Netherlands,Student exchange,"Art &amp; Design (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
Xi&#039;an Jiaotong University,"Term 1 + 2, Term 3",China,Student exchange,"Law &amp; Justice, Science, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Yonsei University,"Term 1 + 2, Term 3",Republic of Korea,Student exchange,"Business School, Engineering, Science, Art &amp; Design (discipline), Arts &amp; Social Sciences (discipline), Built Environment (discipline)",Some English,"Undergraduate, Honours, Postgraduate coursework"
York University,"Term 1, Term 3",Canada,Student exchange,Business School,Only English,"Undergraduate, Honours"
Zhejiang University,"Term 1, Term 3",China,Student exchange,"Science, Arts &amp; Social Sciences (discipline)",No English,"Undergraduate, Honours, Postgraduate coursework"
Zurich University of the Arts,"Term 1 + 2, Term 3",Switzerland,Student exchange,Arts &amp; Social Sciences (discipline),Some English,"Undergraduate, Honours, Postgraduate coursework"
UNSW Exchange Partner Universities,,,,1 2 3 4 5 Next page ›› Last page Last »,,
UNSW Exchange Partner Universities,,,,1 2 3 4 5 Next page ›› Last page Last »,,
UNSW Exchange Partner Universities,,,,1 2 3 4 5 Next page ›› Last page Last »,,
